id;date;details;status;payment_method;payment_date;payment_amount
1;2020-03-02T13:01:50;RAM Focused;PAID;CASH_ON_DELIVERY;2020-03-02T21:23:57;64379
2;2020-03-02T09:51:56;Licensed Soft Sausages Rhode Island;CANCELLED;CASH_ON_DELIVERY;2020-03-02T15:02:14;17323
3;2020-03-02T14:19:21;Incredible Baby;CANCELLED;PAYPAL;2020-03-02T17:51:02;11017
4;2020-03-02T11:49:16;back-end Money Market Account Legacy;ISSUED;CASH_ON_DELIVERY;2020-03-02T11:53:24;51438
5;2020-03-02T06:29:24;function;PAID;PAYPAL;2020-03-02T23:03:29;32278
6;2020-03-02T07:29:12;action-items;CANCELLED;CASH_ON_DELIVERY;2020-03-02T21:16:24;5232
7;2020-03-03T00:15:55;Internal compressing Iceland;CANCELLED;CREDIT_CARD;2020-03-02T17:53:17;62169
8;2020-03-02T10:10:59;Toys;ISSUED;PAYPAL;2020-03-02T20:48:56;10756
9;2020-03-02T11:41:24;Small Rubber Salad Oklahoma;CANCELLED;PAYPAL;2020-03-03T01:24:57;58055
10;2020-03-02T10:19:09;navigate Home Loan Account Guinea-Bissau;PAID;PAYPAL;2020-03-02T22:45:20;94075
