id;placed_date;status;code
1;2020-03-02T20:23:50;COMPLETED;Georgia calculate withdrawal
2;2020-03-02T07:20:20;COMPLETED;compress Steel out-of-the-box
3;2020-03-02T08:51:32;PENDING;Concrete
4;2020-03-02T22:17:27;CANCELLED;Investment Account
5;2020-03-02T09:34:17;PENDING;United States of America
6;2020-03-02T23:46:21;CANCELLED;IB Industrial Credit Card Account
7;2020-03-03T02:52:46;CANCELLED;Cotton Egyptian Pound
8;2020-03-02T11:48:50;COMPLETED;Home Loan Account
9;2020-03-02T20:43:06;COMPLETED;Human
10;2020-03-02T06:51:44;CANCELLED;payment
